iter	Passed	Remaining
0	133	132899
1	135	67417
2	137	45547
3	138	34532
4	140	27933
5	142	23529
6	143	20421
7	146	18208
8	148	16362
9	150	14886
10	152	13674
11	153	12649
12	155	11789
13	156	11043
14	158	10412
15	160	9873
16	162	9375
17	163	8931
18	165	8530
19	166	8170
20	168	7849
21	169	7555
22	171	7282
23	172	7033
24	174	6815
25	176	6601
26	177	6400
27	179	6227
28	180	6056
29	182	5898
30	183	5733
31	184	5578
32	185	5433
33	186	5302
34	187	5180
35	189	5063
36	190	4954
37	191	4850
38	192	4750
39	194	4656
40	195	4561
41	196	4472
42	197	4386
43	198	4305
44	199	4232
45	200	4161
46	202	4102
47	203	4036
48	204	3969
49	205	3904
50	206	3841
51	207	3782
52	208	3724
53	209	3671
54	210	3614
55	211	3557
56	211	3502
57	212	3447
58	212	3393
59	213	3341
60	213	3291
61	214	3242
62	214	3195
63	215	3149
64	216	3109
65	216	3068
66	217	3030
67	218	2987
68	218	2949
69	219	2911
70	219	2874
71	220	2838
72	220	2802
73	221	2769
74	221	2736
75	222	2704
76	222	2672
77	223	2641
78	224	2611
79	224	2582
80	225	2553
81	225	2525
82	226	2499
83	226	2472
84	227	2444
85	227	2419
86	227	2392
87	228	2368
88	229	2345
89	229	2322
90	230	2302
91	231	2280
92	231	2259
93	232	2238
94	232	2219
95	233	2198
96	234	2178
97	234	2159
98	235	2140
99	235	2121
100	236	2103
101	236	2082
102	237	2064
103	237	2047
104	238	2030
105	238	2013
106	239	1998
107	239	1982
108	240	1965
109	241	1950
110	241	1934
111	242	1919
112	242	1904
113	243	1889
114	243	1875
115	244	1860
116	244	1846
117	245	1833
118	245	1818
119	246	1805
120	246	1792
121	247	1780
122	247	1766
123	248	1754
124	248	1741
125	249	1729
126	249	1717
127	250	1704
128	250	1692
129	251	1681
130	251	1670
131	252	1659
132	252	1648
133	253	1637
134	253	1627
135	254	1616
136	255	1607
137	255	1596
138	256	1586
139	256	1576
140	257	1566
141	257	1557
142	258	1547
143	258	1539
144	259	1530
145	260	1521
146	260	1513
147	261	1505
148	262	1497
149	263	1490
150	263	1482
151	264	1474
152	264	1466
153	265	1458
154	266	1450
155	266	1443
156	267	1435
157	267	1427
158	268	1420
159	269	1412
160	269	1404
161	270	1396
162	270	1389
163	271	1382
164	271	1374
165	272	1367
166	272	1360
167	273	1354
168	274	1347
169	274	1341
170	275	1334
171	275	1328
172	276	1321
173	276	1314
174	277	1308
175	278	1302
176	278	1295
177	279	1289
178	279	1283
179	280	1276
180	280	1269
181	281	1263
182	281	1257
183	282	1251
184	282	1245
185	283	1239
186	283	1233
187	284	1228
188	284	1222
189	285	1216
190	285	1211
191	286	1205
192	287	1201
193	287	1196
194	288	1191
195	289	1185
196	289	1180
197	290	1175
198	290	1170
199	291	1165
200	291	1160
201	292	1155
202	293	1150
203	293	1145
204	294	1140
205	294	1135
206	295	1130
207	295	1125
208	296	1120
209	296	1116
210	297	1111
211	297	1107
212	298	1102
213	298	1098
214	299	1093
215	300	1089
216	300	1084
217	301	1081
218	302	1077
219	302	1072
220	303	1068
221	303	1063
222	304	1059
223	304	1055
224	305	1050
225	305	1046
226	306	1042
227	306	1038
228	307	1034
229	307	1030
230	308	1026
231	308	1022
232	309	1018
233	309	1014
234	310	1010
235	310	1006
236	311	1002
237	312	998
238	312	995
239	313	991
240	313	987
241	314	983
242	314	981
243	315	977
244	316	974
245	317	971
246	317	969
247	318	965
248	319	962
249	319	959
250	320	955
251	320	952
252	321	948
253	321	945
254	322	941
255	323	938
256	323	935
257	324	932
258	324	928
259	325	925
260	325	922
261	326	918
262	326	915
263	327	912
264	327	909
265	328	907
266	329	904
267	330	901
268	330	898
269	331	895
270	331	892
271	332	889
272	333	886
273	333	883
274	334	880
275	334	878
276	335	875
277	335	872
278	336	869
279	336	866
280	337	863
281	338	861
282	338	858
283	339	855
284	339	852
285	340	849
286	340	846
287	341	844
288	341	841
289	342	839
290	343	836
291	343	833
292	344	831
293	344	828
294	345	825
295	346	822
296	346	820
297	347	817
298	347	815
299	348	812
300	348	810
301	349	807
302	349	804
303	350	802
304	350	799
305	351	797
306	352	794
307	352	792
308	353	790
309	353	787
310	354	785
311	354	782
312	355	780
313	356	778
314	356	775
315	357	773
316	357	771
317	358	768
318	358	766
319	359	763
320	359	761
321	360	759
322	361	756
323	361	754
324	362	751
325	362	749
326	363	747
327	363	745
328	364	743
329	364	740
330	365	738
331	365	736
332	366	734
333	367	731
334	367	729
335	368	727
336	368	725
337	369	723
338	370	721
339	370	719
340	371	717
341	371	715
342	372	713
343	372	711
344	373	708
345	373	706
346	374	704
347	374	702
348	375	700
349	376	698
350	376	696
351	377	694
352	377	692
353	378	690
354	378	688
355	379	686
356	379	684
357	380	682
358	380	680
359	381	678
360	381	676
361	382	674
362	383	672
363	383	670
364	384	668
365	385	667
366	385	665
367	386	663
368	386	661
369	387	659
370	387	657
371	388	655
372	389	653
373	389	652
374	390	650
375	390	648
376	391	646
377	391	644
378	392	642
379	392	640
380	393	639
381	393	637
382	394	635
383	394	633
384	395	631
385	396	629
386	396	628
387	397	626
388	397	624
389	398	623
390	399	621
391	399	620
392	400	618
393	401	617
394	401	615
395	402	613
396	403	612
397	403	610
398	404	609
399	405	607
400	405	606
401	406	604
402	407	603
403	408	601
404	408	600
405	409	598
406	409	597
407	410	595
408	411	594
409	411	592
410	413	592
411	414	590
412	414	589
413	415	587
414	416	586
415	416	585
416	417	583
417	417	581
418	418	580
419	419	579
420	419	577
421	420	576
422	421	574
423	422	573
424	422	571
425	423	570
426	424	569
427	424	567
428	425	566
429	425	564
430	427	564
431	428	562
432	428	561
433	429	560
434	430	559
435	431	557
436	432	556
437	432	555
438	433	553
439	434	552
440	435	551
441	435	550
442	436	548
443	437	547
444	438	546
445	438	545
446	439	543
447	440	543
448	441	542
449	442	541
450	443	539
451	444	538
452	445	537
453	445	536
454	446	535
455	447	533
456	448	532
457	448	531
458	449	529
459	450	528
460	451	527
461	451	526
462	452	524
463	453	523
464	453	522
465	454	521
466	455	519
467	456	518
468	456	517
469	457	515
470	458	514
471	459	513
472	459	512
473	460	510
474	460	509
475	461	508
476	462	506
477	463	505
478	463	504
479	464	503
480	465	501
481	465	500
482	466	499
483	466	497
484	467	496
485	468	495
486	469	494
487	469	492
488	470	491
489	471	490
490	471	489
491	472	487
492	473	486
493	473	485
494	474	484
495	475	483
